_id,neighborhood_municipality,infections,reinfections,deaths,hospitalizations,pcr_tests,positive_pcr_tests,update_date
92338,Shadyside (Pittsburgh),27298,1999,27,118,62728,3959,2023-05-15
92339,Shaler,31510,3816,60,356,48364,6653,2023-05-15
92340,Sharpsburg,3929,434,10,65,6365,741,2023-05-15
92341,Sheraden (Pittsburgh),6778,789,10,75,10572,1570,2023-05-15
92342,South Fayette,29817,3637,62,128,34503,4435,2023-05-15
92343,South Oakland (Pittsburgh),3775,319,5,34,9151,870,2023-05-15
92344,South Park,15839,1676,18,135,23819,3383,2023-05-15
92345,South Shore (Pittsburgh),364,24,0,1,779,76,2023-05-15
92346,South Versailles,466,48,2,13,626,95,2023-05-15
92347,Southside Flats (Pittsburgh),23018,1757,15,76,48249,2488,2023-05-15
92348,Southside Slopes (Pittsburgh),5502,797,2,30,9248,1169,2023-05-15
92349,Spring Garden (Pittsburgh),836,108,2,12,1377,188,2023-05-15
92350,Spring Hill-City View (Pittsburgh),5668,821,15,67,9468,787,2023-05-15
92351,Springdale Borough,3952,387,16,67,5822,827,2023-05-15
92352,Springdale Township,1901,168,3,34,2970,414,2023-05-15
92353,Squirrel Hill North (Pittsburgh),23162,1235,11,43,78753,2861,2023-05-15
92354,Squirrel Hill South (Pittsburgh),31582,3242,50,189,68758,4836,2023-05-15
92355,St. Clair (Pittsburgh),251,17,1,3,474,47,2023-05-15
92356,Stanton Heights (Pittsburgh),6938,653,20,73,11397,1297,2023-05-15
92357,Stowe,8546,1204,15,104,12631,1793,2023-05-15
92358,Strip District (Pittsburgh),3147,501,2,8,6729,588,2023-05-15
92359,Summer Hill (Pittsburgh),1378,225,3,13,1859,269,2023-05-15
92360,Swisshelm Park (Pittsburgh),1408,97,4,16,3211,318,2023-05-15
92361,Swissvale,11154,1337,11,143,20893,2485,2023-05-15
92362,Tarentum,6481,1017,7,92,8731,1175,2023-05-15
92363,Terrace Village (Pittsburgh),3255,492,5,44,6517,668,2023-05-15
92364,Thornburg,669,89,0,2,1002,130,2023-05-15
92365,Trafford,49,5,0,1,66,6,2023-05-15
92366,Troy Hill (Pittsburgh),3152,274,5,31,6190,732,2023-05-15
92367,Turtle Creek,7502,1030,20,113,10945,1380,2023-05-15
92368,Undefined,27413,2092,65,204,101828,4120,2023-05-15
92369,Undefined (Pittsburgh),59,0,0,0,91,12,2023-05-15
92370,Upper Hill (Pittsburgh),3278,415,6,39,5124,589,2023-05-15
92371,Upper Lawrenceville (Pittsburgh),3814,459,3,23,6859,668,2023-05-15
92372,Upper Saint Clair,31295,3335,35,127,54903,5202,2023-05-15
92373,Verona,3494,357,6,56,5309,658,2023-05-15
92374,Versailles,2016,191,13,43,3041,471,2023-05-15
92375,Wall,586,89,4,11,891,140,2023-05-15
92376,West Deer,15617,1947,46,187,20494,2497,2023-05-15
92377,West Elizabeth,511,64,1,5,643,112,2023-05-15
92378,West End (Pittsburgh),278,21,0,4,464,76,2023-05-15
92379,West Homestead,2554,323,4,34,4095,570,2023-05-15
92380,West Mifflin,28673,4068,38,329,42477,6059,2023-05-15
92381,West Oakland (Pittsburgh),5161,473,1,15,12453,586,2023-05-15
92382,West View,7812,933,7,88,11526,1600,2023-05-15
92383,Westwood (Pittsburgh),4162,551,5,40,5877,968,2023-05-15
92384,Whitaker,1825,250,2,24,2500,393,2023-05-15
92385,White Oak,10793,1528,38,191,15961,2314,2023-05-15
92386,Whitehall,24844,2907,75,254,37120,4166,2023-05-15
92387,Wilkins,8411,936,16,107,13439,1665,2023-05-15
92388,Wilkinsburg,23248,3299,54,347,40053,4477,2023-05-15
92389,Wilmerding,2686,449,5,39,3814,493,2023-05-15
92390,Windgap (Pittsburgh),1905,214,3,15,2894,340,2023-05-15
